"servername","dbname","Table","Index_or_Statistics","T-SQL Drop Command"
"db51","aBILLIty_5070","[dbo].[ChargeGroups]","[_dta_index_ChargeGroups_9_117575457__K1_17]","USE aBILLIty_5070; DROP INDEX [_dta_index_ChargeGroups_9_117575457__K1_17] ON [dbo].[ChargeGroups];"
"db51","aBILLIty_5070","[dbo].[ChargeGroups]","[_dta_index_ChargeGroups_9_117575457__K17_K1]","USE aBILLIty_5070; DROP INDEX [_dta_index_ChargeGroups_9_117575457__K17_K1] ON [dbo].[ChargeGroups];"
"db51","aBILLIty_5070","[dbo].[ChargeGroups]","[_dta_index_ChargeGroups_9_117575457__K17]","USE aBILLIty_5070; DROP INDEX [_dta_index_ChargeGroups_9_117575457__K17] ON [dbo].[ChargeGroups];"
"db51","aBILLIty_5070","[dbo].[ChargeGroups]","[_dta_index_ChargeGroups_9_117575457__K2_17_20]","USE aBILLIty_5070; DROP INDEX [_dta_index_ChargeGroups_9_117575457__K2_17_20] ON [dbo].[ChargeGroups];"
"db51","aBILLIty_5070","[dbo].[ChargeGroups]","[_dta_index_ChargeGroups_9_117575457__K2_K1_17_20]","USE aBILLIty_5070; DROP INDEX [_dta_index_ChargeGroups_9_117575457__K2_K1_17_20] ON [dbo].[ChargeGroups];"
"db51","aBILLIty_5070","[dbo].[ChargeGroups]","[_dta_index_ChargeGroups_9_117575457__K1]","USE aBILLIty_5070; DROP INDEX [_dta_index_ChargeGroups_9_117575457__K1] ON [dbo].[ChargeGroups];"
"db51","aBILLIty_5070","[dbo].[ChargeGroups]","[_dta_index_ChargeGroups_9_117575457__K1_2_17_20]","USE aBILLIty_5070; DROP INDEX [_dta_index_ChargeGroups_9_117575457__K1_2_17_20] ON [dbo].[ChargeGroups];"
"db51","aBILLIty_5070","[dbo].[Recurring_Charges]","[_dta_index_Recurring_Charges_9_437576597__K1_K10_25]","USE aBILLIty_5070; DROP INDEX [_dta_index_Recurring_Charges_9_437576597__K1_K10_25] ON [dbo].[Recurring_Charges];"
"db51","aBILLIty_5070","[dbo].[Recurring_Charges]","[_dta_index_Recurring_Charges_9_437576597__K1_10_25]","USE aBILLIty_5070; DROP INDEX [_dta_index_Recurring_Charges_9_437576597__K1_10_25] ON [dbo].[Recurring_Charges];"
"db51","aBILLIty_5070","[dbo].[Recurring_Charges]","[_dta_stat_437576597_1_10]","USE aBILLIty_5070; DROP INDEX [_dta_stat_437576597_1_10] ON [dbo].[Recurring_Charges];"
