"servername","dbname","Table","Index_or_Statistics","T-SQL Drop Command"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K18]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K18] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K41_K19_K18_K20_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K41_K19_K18_K20_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K18_K1_K45_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K18_K1_K45_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_2_18_19_20_22_25_26_28_30_32_41_46_81_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_2_18_19_20_22_25_26_28_30_32_41_46_81_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3_K1_K45_K22_K81_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3_K1_K45_K22_K81_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K20_K19_K18_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K20_K19_K18_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K20_K1_K45_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K20_K1_K45_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K2_K1_K45_K3_K81_K22_K19_K18_K20_K41_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K2_K1_K45_K3_K81_K22_K19_K18_K20_K41_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K45_K1_K3_K81_K22_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K45_K1_K3_K81_K22_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K81]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K81] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K19_K1_K45_K3_K81_K22_K18_K20_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K19_K1_K45_K3_K81_K22_K18_K20_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K2_K1_K45_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K2_K1_K45_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K20_K1_K45_K3_K81_K22_K19_K18_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K20_K1_K45_K3_K81_K22_K19_K18_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2_K19_K18_K20_K41_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2_K19_K18_K20_K41_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K19_K1_K45_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K19_K1_K45_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K20]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K20] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K25_K20_K19_K18_K41_K2_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K25_K20_K19_K18_K41_K2_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K41_K1_K45_K3_K81_K22]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K41_K1_K45_K3_K81_K22] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K41]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K41] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K41_K1_K45_K3_K81_K22_K19_K18_K20_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K41_K1_K45_K3_K81_K22_K19_K18_K20_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K25_K20]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K25_K20] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19_K18_K20_K41_K2_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
